acc_top_1,acc_top_5,train_loss,train_score
0.011066398390342052,0.04124748490945674,6.452915138954101,0.05303158250295558
0.06841046277665996,0.15995975855130784,5.2132994228938845,0.1505657828069583
0.158953722334004,0.341046277665996,3.6992910660180764,0.30070933963857455
0.20925553319919518,0.41448692152917505,2.3330616616817177,0.49467995271069076
0.23138832997987926,0.46579476861167,1.3393559434985858,0.6718459719641953
0.24647887323943662,0.4939637826961771,0.6898871298748849,0.7734335416314811
0.2283702213279678,0.5050301810865191,0.3634112373275577,0.7861003208917413
0.2022132796780684,0.4798792756539235,0.2711549500189219,0.7477622023306874
0.2112676056338028,0.5241448692152918,0.13719541588773063,0.6963350785340314
0.23742454728370221,0.5311871227364185,0.06626060663037142,0.6403479142036818
0.2112676056338028,0.5070422535211268,0.05733628285674735,0.6153521364634352
0.1790744466800805,0.4647887323943662,0.05509170249915328,0.5810673872656645
0.1851106639839034,0.48088531187122735,0.04877339337131566,0.5700895119067725
0.1841046277665996,0.49295774647887325,0.023473833810294553,0.5382536733659855
0.1720321931589537,0.4869215291750503,0.01685837142337666,0.5325114001013342
