acc_top_1,acc_top_5,train_loss,train_score
0.018108651911468814,0.039235412474849095,6.465196681472491,0.053791589258571186
0.06841046277665996,0.15492957746478872,5.249900542822167,0.14879243371052187
0.1790744466800805,0.32494969818913483,3.756550968817945,0.2959804087147441
0.23138832997987926,0.43661971830985913,2.3369288717640058,0.49721330856274276
0.24245472837022133,0.47283702213279677,1.3079241549551004,0.6688059449417328
0.24446680080482897,0.4678068410462777,0.6680154415635728,0.7642290153690255
0.21730382293762576,0.48088531187122735,0.3662656120895697,0.7763046782638068
0.2283702213279678,0.47585513078470826,0.2368418228815026,0.7144063502786692
0.2012072434607646,0.4768611670020121,0.14097781584038327,0.6615436581658504
0.2012072434607646,0.48490945674044267,0.11274887782689737,0.5966897483533187
0.176056338028169,0.4768611670020121,0.1001426850638862,0.5889207904070258
0.18712273641851107,0.482897384305835,0.08505509771416692,0.5532004728930924
0.1750503018108652,0.4688128772635815,0.043343294640021485,0.5243202161796994
0.17706237424547283,0.44567404426559354,0.034037964111959654,0.5064178348251984
0.18209255533199195,0.46579476861167,0.03081018247640368,0.5007600067556156
