acc_top_1,acc_top_5,train_loss,train_score
0.015090543259557344,0.035211267605633804,6.470378050585642,0.05784495862185442
0.07344064386317907,0.14989939637826963,5.28733992319544,0.14465461915217023
0.14688128772635814,0.31388329979879276,3.790992547238291,0.2951359567640601
0.23742454728370221,0.4537223340040241,2.3724850332640575,0.49299104880932276
0.23440643863179075,0.46378269617706236,1.3246704833205498,0.6663570342847492
0.20422535211267606,0.4607645875251509,0.6951785221334417,0.7519844620841074
0.23440643863179075,0.5010060362173038,0.38529513745174576,0.7419354838709677
0.20321931589537223,0.49899396378269617,0.2473426939382386,0.7079040702584023
0.2052313883299799,0.49798792756539234,0.17050285170964313,0.6524235770984631
0.18712273641851107,0.4869215291750503,0.13400706526072761,0.5967741935483871
0.17404426559356137,0.4678068410462777,0.09662036354354811,0.563249451106232
0.1750503018108652,0.4798792756539235,0.06817441334950454,0.5234757642290153
