acc_top_1,acc_top_5,train_loss,train_score
0.014084507042253521,0.04426559356136821,6.479832664654261,0.05463604120925519
0.03722334004024145,0.10160965794768612,5.300568077442138,0.14440128356696505
0.15694164989939638,0.335010060362173,3.7931174525032145,0.2904070258402297
0.23138832997987926,0.41851106639839036,2.4058637574033916,0.4842087485222091
0.2575452716297787,0.4567404426559356,1.3839215117323431,0.6616281033609188
0.24044265593561368,0.46177062374245476,0.6881565590592408,0.7522377976693126
0.2112676056338028,0.4557344064386318,0.36774369997958933,0.7500422225975342
0.1981891348088531,0.4768611670020121,0.2137528988771201,0.6857794291504813
0.1881287726358149,0.482897384305835,0.19591050154235806,0.6312278331362945
0.16901408450704225,0.43259557344064387,0.13175162089099943,0.5817429488262118
0.2012072434607646,0.46981891348088534,0.09079161660389277,0.5455159601418679
0.18008048289738432,0.4778672032193159,0.05607571943745901,0.530991386590103
0.15694164989939638,0.4386317907444668,0.05849224735726665,0.5189157236953217
0.14688128772635814,0.4275653923541248,0.04344636015280218,0.4919777064685019
